"short_name","age","height_cm","weight_kg","overall","potential","value_eur","wage_eur","release_clause_eur","club_name","league_name","club_position","nationality_name","preferred_foot","gender","eficiencia_salarial","indice_proyeccion","gap_mercado","general_position","overall_tier"
"M. ter Stegen",31,187,85,89,89,54500000,220000,111700000,"FC Barcelona","La Liga","GK","Germany","Right","Male",0.000404543615710838,0,57200000,"Portero","Top Class (85-89)"
"Casemiro",31,185,84,89,89,7.2e+07,240000,136800000,"Manchester United","Premier League","RCM","Brazil","Right","Male",0.000370831788200883,0,64800000,"Centrocampista","Top Class (85-89)"
"V. van Dijk",31,193,92,89,89,70500000,220000,130400000,"Liverpool","Premier League","LCB","Netherlands","Right","Male",0.000404543615710838,0,59900000,"Defensa","Top Class (85-89)"
"M. Salah",31,175,71,89,89,85500000,260000,158200000,"Liverpool","Premier League","RW","Egypt","Left","Male",0.000342306375744709,0,72700000,"Delantero","Top Class (85-89)"
"F. Valverde",24,182,78,88,92,130500000,270000,277300000,"Real Madrid","La Liga","RCM","Uruguay","Right","Male",0.000325924718797338,0.166666666666667,146800000,"Centrocampista","Top Class (85-89)"
"V. Osimhen",24,185,78,88,91,126500000,120000,224500000,"Napoli","Serie A","ST","Nigeria","Right","Male",0.000733327222273148,0.125,9.8e+07,"Delantero","Top Class (85-89)"
"Ederson",29,188,86,88,89,7e+07,210000,134800000,"Manchester City","Premier League","GK","Brazil","Left","Male",0.000419045623592269,0.0344827586206897,64800000,"Portero","Top Class (85-89)"
"J. Kimmich",28,177,75,88,89,8.8e+07,130000,151800000,"FC Bayern München","Bundesliga","RDM","Germany","Right","Male",0.000676917869862539,0.0357142857142857,63800000,"Otros","Top Class (85-89)"
"A. Griezmann",32,176,73,88,88,7.4e+07,135000,151700000,"Atlético Madrid","La Liga","RS","France","Left","Male",0.000651847023355383,0,77700000,"Delantero","Top Class (85-89)"
"J. Oblak",30,188,87,88,88,6.1e+07,90000,125100000,"Atlético Madrid","La Liga","GK","Slovenia","Right","Male",0.000977766913700959,0,64100000,"Portero","Top Class (85-89)"
"Bruno Fernandes",28,179,69,88,88,9.2e+07,260000,174800000,"Manchester United","Premier League","CAM","Portugal","Right","Male",0.000338460236691397,0,82800000,"Centrocampista","Top Class (85-89)"
"Bernardo Silva",28,173,64,88,88,91500000,270000,169300000,"Manchester City","Premier League","SUB","Portugal","Left","Male",0.000325924718797338,0,77800000,"Otros","Top Class (85-89)"
"M. Ødegaard",24,178,68,87,90,1.09e+08,170000,215300000,"Arsenal","Premier League","RCM","Norway","Left","Male",0.000511761695519438,0.125,106300000,"Centrocampista","Top Class (85-89)"
"F. de Jong",26,181,74,87,90,103500000,240000,219900000,"FC Barcelona","La Liga","LCM","Netherlands","Right","Male",0.000362498489589627,0.115384615384615,116400000,"Centrocampista","Top Class (85-89)"
"G. Donnarumma",24,196,90,87,90,8.5e+07,90000,163600000,"Paris Saint Germain","Ligue 1","GK","Italy","Right","Male",0.000966655926045266,0.125,78600000,"Portero","Top Class (85-89)"
"L. Martínez",25,174,72,87,90,1.07e+08,150000,189900000,"Inter","Serie A","LS","Argentina","Right","Male",0.000579996133359111,0.12,82900000,"Delantero","Top Class (85-89)"
"G. Kobel",25,195,88,87,90,81500000,64000,144700000,"Borussia Dortmund","Bundesliga","GK","Switzerland","Right","Male",0.0013593537600975,0.12,63200000,"Portero","Top Class (85-89)"
"M. Maignan",27,191,89,87,89,7.3e+07,90000,129600000,"Milan","Serie A","GK","France","Right","Male",0.000966655926045266,0.0740740740740741,56600000,"Portero","Top Class (85-89)"
"Marquinhos",29,183,75,87,88,73500000,140000,141500000,"Paris Saint Germain","Ligue 1","RCB","Brazil","Right","Male",0.000621424132684767,0.0344827586206897,6.8e+07,"Defensa","Top Class (85-89)"
"M. Neuer",37,193,93,87,87,9e+06,55000,14900000,"FC Bayern München","Bundesliga","SUB","Germany","Right","Male",0.00158178942201051,0,5900000,"Otros","Top Class (85-89)"
"L. Modrić",37,172,66,87,87,2.5e+07,190000,51300000,"Real Madrid","La Liga","SUB","Croatia","Right","Male",0.00045789232688249,0,26300000,"Otros","Top Class (85-89)"
"H. Son",30,183,78,87,87,7.7e+07,170000,146300000,"Tottenham Hotspur","Premier League","LW","Korea Republic","Right","Male",0.000511761695519438,0,69300000,"Delantero","Top Class (85-89)"
"J. Musiala",20,184,72,86,93,134500000,79000,248800000,"FC Bayern München","Bundesliga","CAM","Germany","Right","Male",0.00108859381526816,0.35,114300000,"Centrocampista","Top Class (85-89)"
"K. Kvaratskhelia",22,183,70,86,92,1.09e+08,95000,207100000,"Napoli","Serie A","LW","Georgia","Right","Male",0.000905253628909169,0.272727272727273,98100000,"Delantero","Top Class (85-89)"
"Pedri",20,174,60,86,92,1.05e+08,165000,236300000,"FC Barcelona","La Liga","SUB","Spain","Right","Male",0.000521208962369925,0.3,131300000,"Otros","Top Class (85-89)"
"Rafael Leão",24,188,81,86,91,102500000,110000,181900000,"Milan","Serie A","LW","Portugal","Right","Male",0.000781811074444778,0.208333333333333,79400000,"Delantero","Top Class (85-89)"
"J. Bellingham",20,186,75,86,91,100500000,175000,213600000,"Real Madrid","La Liga","CAM","England","Right","Male",0.000491425763281353,0.25,113100000,"Centrocampista","Top Class (85-89)"
"R. Araujo",24,188,79,86,91,9.3e+07,175000,197600000,"FC Barcelona","La Liga","SUB","Uruguay","Right","Male",0.000491425763281353,0.208333333333333,104600000,"Otros","Top Class (85-89)"
"B. Saka",21,178,65,86,90,9.9e+07,150000,195500000,"Arsenal","Premier League","RW","England","Left","Male",0.000573329511136592,0.19047619047619,96500000,"Delantero","Top Class (85-89)"
"M. de Ligt",23,189,89,86,89,8.3e+07,84000,143200000,"FC Bayern München","Bundesliga","RCB","Netherlands","Right","Male",0.001023797335746,0.130434782608696,60200000,"Defensa","Top Class (85-89)"
"Éder Militão",25,186,78,86,89,8e+07,210000,170000000,"Real Madrid","La Liga","SUB","Brazil","Right","Male",0.000409521859419717,0.12,9e+07,"Otros","Top Class (85-89)"
"S. Tonali",23,181,79,86,89,8.4e+07,140000,165900000,"Newcastle United","Premier League","RCM","Italy","Right","Male",0.000614281326561953,0.130434782608696,81900000,"Centrocampista","Top Class (85-89)"
"N. Barella",26,175,68,86,88,83500000,135000,148200000,"Inter","Serie A","RCM","Italy","Right","Male",0.000637032318279124,0.0769230769230769,64700000,"Centrocampista","Top Class (85-89)"
"T. Alexander-Arnold",24,180,69,86,88,8.1e+07,140000,155900000,"Liverpool","Premier League","RB","England","Right","Male",0.000614281326561953,0.0833333333333333,74900000,"Defensa","Top Class (85-89)"
"C. Nkunku",25,175,73,86,88,86500000,185000,170800000,"Chelsea","Premier League","RES","France","Right","Male",0.000464862352095394,0.08,84300000,"Otros","Top Class (85-89)"
"O. Dembélé",26,178,67,86,87,8e+07,150000,154000000,"Paris Saint Germain","Ligue 1","RW","France","Left","Male",0.000573329511136592,0.0384615384615385,7.4e+07,"Delantero","Top Class (85-89)"
"T. Kroos",33,183,76,86,86,4.2e+07,240000,86100000,"Real Madrid","La Liga","SUB","Germany","Right","Male",0.000358331840283999,0,44100000,"Otros","Top Class (85-89)"
"W. Szczęsny",33,195,90,86,86,2.2e+07,125000,37400000,"Juventus","Serie A","GK","Poland","Right","Male",0.000687994496044032,0,15400000,"Portero","Top Class (85-89)"
"İ. Gündoğan",32,180,80,86,86,53500000,220000,109700000,"FC Barcelona","La Liga","RCM","Germany","Right","Male",0.000390907314057663,0,56200000,"Centrocampista","Top Class (85-89)"
"Parejo",34,182,74,86,86,31500000,64000,66200000,"Villarreal","La Liga","CDM","Spain","Right","Male",0.00134372900423431,0,34700000,"Centrocampista","Top Class (85-89)"
"João Cancelo",29,182,74,86,86,59500000,195000,NA,"FC Barcelona","La Liga","RB","Portugal","Right","Male",0.000441023379367285,0,NA,"Defensa","Top Class (85-89)"
"P. Dybala",29,177,75,86,86,6.8e+07,130000,115600000,"Roma","Serie A","RS","Argentina","Left","Male",0.000661533372820209,0,47600000,"Delantero","Top Class (85-89)"
"A. Robertson",29,178,64,86,86,59500000,170000,110100000,"Liverpool","Premier League","LB","Scotland","Left","Male",0.000505879377180134,0,50600000,"Defensa","Top Class (85-89)"
"Rodrygo",22,174,64,85,91,86500000,210000,194600000,"Real Madrid","La Liga","RS","Brazil","Right","Male",0.000404759977333441,0.272727272727273,108100000,"Delantero","Top Class (85-89)"
"F. Wirtz",20,177,71,85,91,83500000,65000,158700000,"Bayer 04 Leverkusen","Bundesliga","LF","Germany","Right","Male",0.00130767218965862,0.3,75200000,"Delantero","Top Class (85-89)"
"T. Hernández",25,184,81,85,90,73500000,90000,130500000,"Milan","Serie A","LB","France","Left","Male",0.000944433950733881,0.2,5.7e+07,"Defensa","Top Class (85-89)"
"A. Bastoni",24,190,75,85,90,73500000,95000,130500000,"Inter","Serie A","LCB","Italy","Left","Male",0.000894727423921853,0.208333333333333,5.7e+07,"Defensa","Top Class (85-89)"
"P. Foden",23,171,69,85,90,81500000,180000,156900000,"Manchester City","Premier League","RW","England","Left","Male",0.000472219598780007,0.217391304347826,75400000,"Delantero","Top Class (85-89)"
"J. Koundé",24,180,75,85,89,69500000,160000,147700000,"FC Barcelona","La Liga","RCB","France","Right","Male",0.000531246679708252,0.166666666666667,78200000,"Defensa","Top Class (85-89)"
"M. Rashford",25,186,70,85,88,71500000,185000,141200000,"Manchester United","Premier League","LW","England","Right","Male",0.000459456975908238,0.12,69700000,"Delantero","Top Class (85-89)"
"Diogo Jota",26,178,68,85,87,67500000,180000,129900000,"Liverpool","Premier League","SUB","Portugal","Right","Male",0.000472219598780007,0.0769230769230769,62400000,"Otros","Top Class (85-89)"
"D. Rice",24,185,80,85,87,6.3e+07,130000,124400000,"Arsenal","Premier League","CDM","England","Right","Male",0.000653841124299044,0.0833333333333333,61400000,"Centrocampista","Top Class (85-89)"
"J. Stones",29,188,76,85,86,49500000,180000,95300000,"Manchester City","Premier League","RCB","England","Right","Male",0.000472219598780007,0.0344827586206897,45800000,"Defensa","Top Class (85-89)"
"A. Onana",27,190,93,85,86,4.6e+07,130000,90900000,"Manchester United","Premier League","GK","Cameroon","Right","Male",0.000653841124299044,0.037037037037037,44900000,"Portero","Top Class (85-89)"
"K. Trippier",32,173,71,85,85,37500000,150000,71300000,"Newcastle United","Premier League","RB","England","Right","Male",0.000566662888914074,0,33800000,"Defensa","Top Class (85-89)"
"K. Trapp",32,189,84,85,85,26500000,51000,45100000,"Eintracht Frankfurt","Bundesliga","GK","Germany","Right","Male",0.00166663398756887,0,18600000,"Portero","Top Class (85-89)"
"C. Immobile",33,185,85,85,85,34500000,90000,58700000,"Lazio","Serie A","ST","Italy","Right","Male",0.000944433950733881,0,24200000,"Delantero","Top Class (85-89)"
"Iago Aspas",35,176,67,85,85,2.3e+07,38000,48300000,"Celta de Vigo","La Liga","RS","Spain","Left","Male",0.00223678324254625,0,25300000,"Delantero","Top Class (85-89)"
"K. Navas",36,185,80,85,85,6e+06,60000,11100000,"Paris Saint Germain","Ligue 1","SUB","Costa Rica","Right","Male",0.00141664305594907,0,5100000,"Otros","Top Class (85-89)"
"D. Alaba",31,180,78,85,85,3.7e+07,2e+05,75900000,"Real Madrid","La Liga","LCB","Austria","Left","Male",0.000424997875010625,0,38900000,"Defensa","Top Class (85-89)"
"R. Varane",30,191,81,85,85,4.4e+07,160000,83600000,"Manchester United","Premier League","RES","France","Right","Male",0.000531246679708252,0,39600000,"Otros","Top Class (85-89)"
"E. Martínez",30,195,88,85,85,3.6e+07,1e+05,68400000,"Aston Villa","Premier League","GK","Argentina","Right","Male",0.000849991500084999,0,32400000,"Portero","Top Class (85-89)"
"A. Rüdiger",30,190,85,85,85,4.4e+07,2e+05,90200000,"Real Madrid","La Liga","RCB","Germany","Right","Male",0.000424997875010625,0,46200000,"Defensa","Top Class (85-89)"
"J. Grealish",27,180,81,85,85,57500000,2e+05,106400000,"Manchester City","Premier League","LW","England","Right","Male",0.000424997875010625,0,48900000,"Delantero","Top Class (85-89)"
"H. Çalhanoğlu",29,178,76,85,85,52500000,130000,89300000,"Inter","Serie A","CDM","Turkey","Right","Male",0.000653841124299044,0,36800000,"Centrocampista","Top Class (85-89)"
"L. Goretzka",28,189,82,85,85,5.4e+07,1e+05,89100000,"FC Bayern München","Bundesliga","SUB","Germany","Right","Male",0.000849991500084999,0,35100000,"Otros","Top Class (85-89)"
"T. Partey",30,185,77,85,85,4.5e+07,150000,85500000,"Arsenal","Premier League","SUB","Ghana","Right","Male",0.000566662888914074,0,40500000,"Otros","Top Class (85-89)"
"D. Berardi",28,183,72,85,85,54500000,40000,92700000,"Sassuolo","Serie A","RW","Italy","Left","Male",0.00212494687632809,0,38200000,"Delantero","Top Class (85-89)"
"K. Coman",27,181,75,85,85,57500000,1e+05,94900000,"FC Bayern München","Bundesliga","LM","France","Right","Male",0.000849991500084999,0,37400000,"Centrocampista","Top Class (85-89)"
"G. Di Lorenzo",29,183,83,85,85,47500000,86000,80800000,"Napoli","Serie A","RB","Italy","Right","Male",0.000988360600458134,0,33300000,"Defensa","Top Class (85-89)"
"M. Acuña",31,172,69,85,85,3.9e+07,46000,81900000,"Sevilla","La Liga","LB","Argentina","Left","Male",0.00184778591769744,0,42900000,"Defensa","Top Class (85-89)"
"A. Tchouaméni",23,187,81,84,89,58500000,160000,124300000,"Real Madrid","La Liga","CDM","France","Right","Male",0.000524996718770508,0.217391304347826,65800000,"Centrocampista","Bueno (80-84)"
"I. Bennacer",25,175,70,84,88,53500000,84000,95000000,"Milan","Serie A","SUB","Algeria","Left","Male",0.000999988095379817,0.16,41500000,"Otros","Bueno (80-84)"
"F. Tomori",25,185,79,84,88,52500000,84000,93200000,"Milan","Serie A","LCB","England","Right","Male",0.000999988095379817,0.16,40700000,"Defensa","Bueno (80-84)"
"M. Diaby",23,171,67,84,88,60500000,105000,119500000,"Aston Villa","Premier League","RS","France","Left","Male",0.000799992381024943,0.173913043478261,5.9e+07,"Delantero","Bueno (80-84)"
"Gabriel Martinelli",22,178,75,84,88,61500000,145000,121500000,"Arsenal","Premier League","LW","Brazil","Right","Male",0.000579306349611382,0.181818181818182,6e+07,"Delantero","Bueno (80-84)"
"A. Ramsdale",25,191,77,84,87,4.3e+07,105000,84900000,"Arsenal","Premier League","GK","England","Right","Male",0.000799992381024943,0.12,41900000,"Portero","Bueno (80-84)"
"R. Kolo Muani",24,187,73,84,87,58500000,110000,112600000,"Paris Saint Germain","Ligue 1","ST","France","Right","Male",0.000763629421550713,0.125,54100000,"Delantero","Bueno (80-84)"
"L. Martínez",25,178,77,84,87,49500000,140000,97800000,"Manchester United","Premier League","LCB","Argentina","Left","Male",0.000599995714316326,0.12,48300000,"Defensa","Bueno (80-84)"
"Bremer",26,188,82,84,87,4.9e+07,135000,87000000,"Juventus","Serie A","CB","Brazil","Right","Male",0.000622217613202865,0.115384615384615,3.8e+07,"Defensa","Bueno (80-84)"
"Bruno Guimarães",25,182,74,84,87,55500000,145000,109600000,"Newcastle United","Premier League","CM","Brazil","Right","Male",0.000579306349611382,0.12,54100000,"Centrocampista","Bueno (80-84)"
"N. Süle",27,195,99,84,86,4.5e+07,66000,79900000,"Borussia Dortmund","Bundesliga","RCB","Germany","Right","Male",0.00127270798927289,0.0740740740740741,34900000,"Defensa","Bueno (80-84)"
"Álex Remiro",28,192,79,84,86,3.6e+07,43000,78300000,"Real Sociedad","La Liga","GK","Spain","Right","Male",0.00195344294318737,0.0714285714285714,42300000,"Portero","Bueno (80-84)"
"Gabriel",25,190,87,84,86,4.7e+07,130000,92800000,"Arsenal","Premier League","LCB","Brazil","Left","Male",0.000646148875777879,0.08,45800000,"Defensa","Bueno (80-84)"
"A. Hakimi",24,181,73,84,86,50500000,90000,97200000,"Paris Saint Germain","Ligue 1","RB","Morocco","Right","Male",0.000933322963078188,0.0833333333333333,46700000,"Defensa","Bueno (80-84)"
"Kim Min Jae",26,190,86,84,86,4.6e+07,82000,79400000,"FC Bayern München","Bundesliga","LCB","Korea Republic","Right","Male",0.00102437775149084,0.0769230769230769,33400000,"Defensa","Bueno (80-84)"
"R. James",23,178,87,84,86,50500000,120000,99700000,"Chelsea","Premier League","RES","England","Right","Male",0.000699994166715277,0.0869565217391304,49200000,"Otros","Bueno (80-84)"
"J. Brandt",27,185,83,84,85,48500000,72000,86100000,"Borussia Dortmund","Bundesliga","LCM","Germany","Right","Male",0.00116665046318801,0.037037037037037,37600000,"Centrocampista","Bueno (80-84)"
"P. Højbjerg",27,187,84,84,85,4.3e+07,110000,84900000,"Tottenham Hotspur","Premier League","SUB","Denmark","Right","Male",0.000763629421550713,0.037037037037037,41900000,"Otros","Bueno (80-84)"
"J. Maddison",26,175,73,84,85,49500000,120000,97800000,"Tottenham Hotspur","Premier League","LCM","England","Right","Male",0.000699994166715277,0.0384615384615385,48300000,"Centrocampista","Bueno (80-84)"
"L. Hernández",27,184,79,84,85,42500000,105000,81800000,"Paris Saint Germain","Ligue 1","LB","France","Left","Male",0.000799992381024943,0.037037037037037,39300000,"Defensa","Bueno (80-84)"
"Mikel Merino",27,189,83,84,85,4.8e+07,54000,104400000,"Real Sociedad","La Liga","LCM","Spain","Left","Male",0.00155552674950464,0.037037037037037,56400000,"Centrocampista","Bueno (80-84)"
"Gabriel Jesus",26,175,73,84,85,50500000,165000,99700000,"Arsenal","Premier League","SUB","Brazil","Right","Male",0.000509087823710159,0.0384615384615385,49200000,"Otros","Bueno (80-84)"
"Raphinha",26,176,68,84,85,49500000,210000,105200000,"FC Barcelona","La Liga","RW","Brazil","Left","Male",0.000399998095247166,0.0384615384615385,55700000,"Delantero","Bueno (80-84)"
"F. Chiesa",25,175,70,84,85,50500000,140000,89600000,"Juventus","Serie A","LS","Italy","Right","Male",0.000599995714316326,0.04,39100000,"Delantero","Bueno (80-84)"
"L. Díaz",26,180,73,84,85,49500000,165000,95300000,"Liverpool","Premier League","LW","Colombia","Right","Male",0.000509087823710159,0.0384615384615385,45800000,"Delantero","Bueno (80-84)"
"Thiago Silva",38,183,79,84,84,7500000,1e+05,14300000,"Chelsea","Premier League","LCB","Brazil","Right","Male",0.000839991600083999,0,6800000,"Defensa","Bueno (80-84)"
"Y. Sommer",34,183,79,84,84,7e+06,84000,11900000,"Inter","Serie A","GK","Switzerland","Right","Male",0.000999988095379817,0,4900000,"Portero","Bueno (80-84)"
"P. Gulácsi",33,191,86,84,84,13500000,60000,23000000,"RB Leipzig","Bundesliga","GK","Hungary","Right","Male",0.00139997666705555,0,9500000,"Portero","Bueno (80-84)"
"K. Walker",33,183,83,84,84,2.2e+07,155000,40700000,"Manchester City","Premier League","RB","England","Right","Male",0.000541931987535564,0,18700000,"Defensa","Bueno (80-84)"
"Thiago",32,174,70,84,84,3.3e+07,150000,61100000,"Liverpool","Premier League","SUB","Spain","Right","Male",0.000559996266691555,0,28100000,"Otros","Bueno (80-84)"
"T. Müller",33,185,76,84,84,26500000,90000,43700000,"FC Bayern München","Bundesliga","SUB","Germany","Right","Male",0.000933322963078188,0,17200000,"Otros","Bueno (80-84)"
"C. Smalling",33,194,81,84,84,2e+07,88000,34000000,"Roma","Serie A","CB","England","Right","Male",0.000954534607561278,0,1.4e+07,"Defensa","Bueno (80-84)"
"R. Lukaku",30,191,94,84,84,41500000,165000,NA,"Roma","Serie A","SUB","Belgium","Left","Male",0.000509087823710159,0,NA,"Otros","Bueno (80-84)"
"K. Casteels",31,197,86,84,84,22500000,55000,38300000,"VfL Wolfsburg","Bundesliga","GK","Belgium","Left","Male",0.00152724495918256,0,15800000,"Portero","Bueno (80-84)"
"Koke",31,176,75,84,84,29500000,74000,60500000,"Atlético Madrid","La Liga","CDM","Spain","Right","Male",0.00113511979567844,0,3.1e+07,"Centrocampista","Bueno (80-84)"
"Luis Alberto",30,183,74,84,84,40500000,78000,68900000,"Lazio","Serie A","LCM","Spain","Right","Male",0.00107690927039397,0,28400000,"Centrocampista","Bueno (80-84)"
"M. Depay",29,176,78,84,84,4.2e+07,90000,86100000,"Atlético Madrid","La Liga","SUB","Netherlands","Right","Male",0.000933322963078188,0,44100000,"Otros","Bueno (80-84)"
"N. Pope",31,199,76,84,84,22500000,110000,42800000,"Newcastle United","Premier League","GK","England","Right","Male",0.000763629421550713,0,20300000,"Portero","Bueno (80-84)"
"S. Gnabry",27,176,77,84,84,4.5e+07,90000,74300000,"FC Bayern München","Bundesliga","SUB","Germany","Right","Male",0.000933322963078188,0,29300000,"Otros","Bueno (80-84)"
"M. Ginter",29,189,86,84,84,35500000,47000,60400000,"SC Freiburg","Bundesliga","LCB","Germany","Right","Male",0.00178719601710602,0,24900000,"Defensa","Bueno (80-84)"
"A. Rabiot",28,191,80,84,84,4.2e+07,150000,71400000,"Juventus","Serie A","LCM","France","Left","Male",0.000559996266691555,0,29400000,"Centrocampista","Bueno (80-84)"
"Grimaldo",27,171,67,84,84,40500000,74000,68900000,"Bayer 04 Leverkusen","Bundesliga","LM","Spain","Left","Male",0.00113511979567844,0,28400000,"Centrocampista","Bueno (80-84)"
"R. De Paul",29,180,70,84,84,4.1e+07,85000,84100000,"Atlético Madrid","La Liga","RCM","Argentina","Right","Male",0.000988223667956847,0,43100000,"Centrocampista","Bueno (80-84)"
"S. Lobotka",28,170,64,84,84,4.2e+07,86000,71400000,"Napoli","Serie A","CDM","Slovakia","Right","Male",0.000976732828688038,0,29400000,"Centrocampista","Bueno (80-84)"
"L. Sané",27,183,80,84,84,4.5e+07,90000,74300000,"FC Bayern München","Bundesliga","RM","Germany","Left","Male",0.000933322963078188,0,29300000,"Centrocampista","Bueno (80-84)"
"Marcos Llorente",28,184,74,84,84,42500000,85000,87100000,"Atlético Madrid","La Liga","SUB","Spain","Right","Male",0.000988223667956847,0,44600000,"Otros","Bueno (80-84)"
"M. Škriniar",28,187,80,84,84,36500000,110000,67500000,"Paris Saint Germain","Ligue 1","LCB","Slovakia","Right","Male",0.000763629421550713,0,3.1e+07,"Defensa","Bueno (80-84)"
"Gavi",18,173,70,83,90,68500000,60000,154100000,"FC Barcelona","La Liga","LW","Spain","Right","Male",0.00138331027816203,0.388888888888889,85600000,"Delantero","Bueno (80-84)"
"W. Saliba",22,193,85,83,89,5.3e+07,105000,111300000,"Arsenal","Premier League","RCB","France","Right","Male",0.000790468662203217,0.272727272727273,58300000,"Defensa","Bueno (80-84)"
"E. Fernández",22,178,76,83,89,5.8e+07,120000,121800000,"Chelsea","Premier League","CAM","Argentina","Right","Male",0.00069166090282581,0.272727272727273,63800000,"Centrocampista","Bueno (80-84)"
"A. Davies",22,185,77,83,88,5.2e+07,64000,89700000,"FC Bayern München","Bundesliga","LB","Canada","Left","Male",0.00129685473664474,0.227272727272727,37700000,"Defensa","Bueno (80-84)"
"C. Gakpo",24,189,76,83,88,55500000,130000,106800000,"Liverpool","Premier League","CF","Netherlands","Right","Male",0.000638456627256713,0.208333333333333,51300000,"Delantero","Bueno (80-84)"
"D. Vlahović",23,190,75,83,88,55500000,125000,98500000,"Juventus","Serie A","RS","Serbia","Left","Male",0.000663994688042496,0.217391304347826,4.3e+07,"Delantero","Bueno (80-84)"
"N. Schlotterbeck",23,191,90,83,88,49500000,51000,87900000,"Borussia Dortmund","Bundesliga","SUB","Germany","Left","Male",0.00162741907021431,0.217391304347826,38400000,"Otros","Bueno (80-84)"
"J. Frimpong",22,171,64,83,88,5.2e+07,58000,92300000,"Bayer 04 Leverkusen","Bundesliga","RM","Netherlands","Right","Male",0.00143100981017569,0.227272727272727,40300000,"Centrocampista","Bueno (80-84)"
"Dani Olmo",25,179,72,83,87,50500000,71000,89600000,"RB Leipzig","Bundesliga","LAM","Spain","Right","Male",0.00116899761975183,0.16,39100000,"Otros","Bueno (80-84)"
"S. Botman",23,193,81,83,87,4.7e+07,105000,92800000,"Newcastle United","Premier League","LCB","Netherlands","Left","Male",0.000790468662203217,0.173913043478261,45800000,"Defensa","Bueno (80-84)"
"Unai Simón",26,190,89,83,86,36500000,31000,79400000,"Athletic Club","La Liga","GK","Spain","Right","Male",0.00267733298925841,0.115384615384615,42900000,"Portero","Bueno (80-84)"
"Pau Torres",26,191,80,83,86,4.2e+07,1e+05,83000000,"Aston Villa","Premier League","LCB","Spain","Left","Male",0.000829991700082999,0.115384615384615,4.1e+07,"Defensa","Bueno (80-84)"
"A. Christensen",27,187,82,83,85,38500000,155000,81800000,"FC Barcelona","La Liga","LCB","Denmark","Right","Male",0.000535480416255379,0.0740740740740741,43300000,"Defensa","Bueno (80-84)"
"J. Giménez",28,185,79,83,85,36500000,71000,77600000,"Atlético Madrid","La Liga","SUB","Uruguay","Right","Male",0.00116899761975183,0.0714285714285714,41100000,"Otros","Bueno (80-84)"
"A. Meret",26,190,83,83,85,3.4e+07,56000,60400000,"Napoli","Serie A","GK","Italy","Left","Male",0.00148211639077874,0.0769230769230769,26400000,"Portero","Bueno (80-84)"
"G. Mancini",27,190,77,83,85,38500000,80000,68300000,"Roma","Serie A","RCB","Italy","Right","Male",0.00103748703141211,0.0740740740740741,29800000,"Defensa","Bueno (80-84)"
"K. Laimer",26,180,72,83,84,3.8e+07,75000,65600000,"FC Bayern München","Bundesliga","LDM","Austria","Right","Male",0.00110665191130785,0.0384615384615385,27600000,"Otros","Bueno (80-84)"
"G. Rodríguez",28,185,80,83,84,3.5e+07,37000,76100000,"Real Betis","La Liga","RDM","Argentina","Right","Male",0.00224318261668604,0.0357142857142857,41100000,"Otros","Bueno (80-84)"
"B. Pavard",27,186,81,83,84,36500000,95000,64800000,"Inter","Serie A","SUB","France","Right","Male",0.000873675013947222,0.037037037037037,28300000,"Otros","Bueno (80-84)"
